iter	Passed	Remaining
189	3387	14440
190	3404	14419
191	3419	14391
192	3438	14376
193	3454	14352
194	3472	14334
195	3487	14305
196	3505	14287
197	3523	14272
198	3540	14251
199	3558	14232
200	3574	14207
201	3592	14190
202	3608	14167
203	3626	14149
204	3642	14124
205	3658	14101
206	3674	14076
207	3690	14052
208	3707	14030
209	3724	14009
210	3739	13984
211	3755	13960
212	3770	13932
213	3787	13909
214	3805	13892
215	3820	13868
216	3839	13854
217	3856	13834
218	3873	13813
219	3889	13788
220	3905	13768
221	3921	13744
222	3939	13726
223	3958	13714
224	3975	13691
225	3990	13667
226	4006	13643
227	4022	13618
228	4039	13600
229	4056	13580
230	4075	13566
231	4092	13547
232	4109	13527
233	4124	13500
234	4140	13479
235	4156	13455
236	4170	13425
237	4186	13404
238	4203	13382
239	4220	13363
240	4236	13342
241	4254	13325
242	4270	13304
243	4287	13282
244	4304	13264
245	4320	13243
246	4338	13226
247	4355	13207
248	4373	13190
249	4392	13176
250	4408	13154
251	4424	13133
252	4442	13116
253	4459	13096
254	4475	13074
255	4492	13056
256	4507	13032
257	4522	13007
258	4540	12990
259	4558	12974
260	4574	12952
261	4591	12932
262	4607	12910
263	4626	12898
264	4642	12875
265	4659	12857
266	4674	12832
267	4693	12819
268	4710	12800
269	4727	12780
270	4744	12761
271	4762	12746
272	4779	12727
273	4796	12709
274	4814	12693
275	4830	12672
276	4849	12656
277	4866	12638
278	4882	12617
279	4900	12601
280	4916	12580
281	4932	12558
282	4949	12538
283	4968	12525
284	4983	12502
285	5000	12483
286	5018	12467
287	5034	12446
288	5050	12424
289	5065	12402
290	5084	12388
291	5101	12368
292	5120	12354
293	5136	12335
294	5154	12318
295	5172	12300
296	5189	12284
297	5207	12266
298	5223	12245
299	5241	12230
300	5258	12212
301	5274	12191
302	5289	12168
303	5310	12157
304	5326	12138
305	5343	12119
306	5361	12102
307	5377	12082
308	5394	12062
309	5409	12040
310	5427	12023
311	5442	12002
312	5458	11981
313	5475	11963
314	5494	11947
315	5509	11926
316	5526	11907
317	5543	11889
318	5561	11871
319	5578	11854
320	5594	11833
321	5611	11814
322	5628	11798
323	5645	11778
324	5661	11759
325	5678	11741
326	5695	11721
327	5711	11702
328	5728	11683
329	5745	11664
330	5764	11650
331	5782	11634
332	5798	11613
333	5817	11599
334	5834	11581
335	5851	11564
336	5869	11546
337	5886	11529
338	5904	11512
339	5919	11491
340	5937	11474
341	5954	11456
342	5974	11443
343	5990	11423
344	6006	11403
345	6023	11385
346	6039	11364
347	6055	11345
348	6073	11328
349	6089	11309
350	6108	11294
351	6125	11275
352	6141	11257
353	6159	11240
354	6177	11224
355	6196	11208
356	6215	11194
357	6233	11179
358	6249	11159
359	6265	11139
360	6282	11119
361	6299	11103
362	6318	11088
363	6335	11070
364	6351	11049
365	6368	11031
366	6384	11011
367	6399	10990
368	6416	10971
369	6434	10955
370	6451	10937
371	6468	10920
372	6486	10903
373	6503	10886
374	6520	10867
375	6536	10848
376	6554	10832
377	6571	10812
378	6590	10798
379	6607	10780
380	6626	10766
381	6643	10748
382	6660	10729
383	6678	10713
384	6695	10695
385	6713	10679
386	6730	10661
387	6749	10645
388	6764	10624
389	6780	10605
390	6796	10586
391	6812	10566
392	6829	10548
393	6846	10529
394	6864	10513
395	6880	10494
396	6898	10478
397	6915	10460
398	6934	10445
399	6954	10432
400	6971	10413
401	6989	10396
402	7008	10382
403	7025	10363
404	7040	10343
405	7056	10324
406	7072	10304
407	7090	10288
408	7110	10274
409	7129	10258
410	7146	10241
411	7166	10228
412	7183	10210
413	7201	10193
414	7218	10176
415	7236	10158
416	7252	10139
417	7268	10120
418	7285	10101
419	7304	10086
420	7322	10070
421	7339	10052
422	7355	10033
423	7372	10015
424	7389	9997
425	7405	9978
426	7422	9961
427	7440	9944
428	7456	9924
429	7475	9909
430	7495	9895
431	7511	9876
432	7529	9859
433	7545	9840
434	7563	9823
435	7578	9803
436	7595	9786
437	7613	9769
438	7632	9753
439	7648	9734
440	7665	9716
441	7681	9697
442	7699	9680
443	7714	9661
444	7733	9644
445	7751	9628
446	7767	9608
447	7782	9589
448	7802	9574
449	7819	9556
450	7836	9539
451	7853	9521
452	7868	9501
453	7885	9483
454	7904	9468
455	7921	9450
456	7940	9434
457	7957	9416
458	7974	9398
459	7989	9379
460	8006	9361
461	8023	9342
462	8039	9324
463	8056	9307
464	8073	9289
465	8089	9269
466	8107	9252
467	8124	9235
468	8142	9218
469	8162	9204
470	8179	9187
471	8197	9170
472	8215	9153
473	8234	9137
474	8252	9121
475	8270	9104
476	8287	9086
477	8306	9070
478	8323	9053
479	8339	9034
480	8355	9015
481	8372	8997
482	8390	8980
483	8408	8964
484	8427	8948
485	8443	8930
486	8461	8912
487	8477	8894
488	8495	8878
489	8513	8860
490	8533	8846
491	8550	8828
492	8568	8812
493	8585	8794
494	8602	8776
495	8620	8759
496	8638	8742
497	8654	8724
498	8672	8707
499	8689	8689
500	8707	8672
501	8725	8655
502	8744	8640
503	8762	8623
504	8779	8605
505	8794	8586
506	8808	8565
507	8825	8547
508	8844	8531
509	8861	8513
510	8878	8495
511	8895	8478
512	8912	8461
513	8930	8443
514	8948	8427
515	8966	8410
516	8983	8392
517	9000	8374
518	9016	8356
519	9034	8339
520	9050	8320
521	9068	8304
522	9085	8286
523	9102	8268
524	9120	8251
525	9140	8236
526	9157	8219
527	9174	8201
528	9192	8184
529	9208	8166
530	9226	8149
531	9242	8130
532	9258	8111
533	9276	8095
534	9294	8078
535	9310	8059
536	9326	8041
537	9344	8024
538	9362	8007
539	9380	7991
540	9399	7975
541	9414	7955
542	9431	7937
543	9450	7921
544	9464	7901
545	9482	7884
546	9498	7866
547	9512	7846
548	9530	7829
549	9546	7810
550	9563	7792
551	9576	7772
552	9590	7752
553	9607	7734
554	9622	7715
555	9640	7698
556	9658	7681
557	9676	7664
558	9692	7646
559	9707	7627
560	9725	7610
561	9742	7593
562	9759	7575
563	9776	7557
564	9792	7539
565	9809	7521
566	9824	7502
567	9839	7483
568	9855	7465
569	9873	7448
570	9891	7431
571	9908	7414
572	9926	7397
573	9944	7380
574	9961	7362
575	9976	7343
576	9992	7325
577	10010	7308
578	10027	7291
579	10044	7273
580	10062	7256
581	10079	7239
582	10096	7221
583	10114	7204
584	10130	7186
585	10148	7169
586	10166	7153
587	10181	7134
588	10198	7116
589	10215	7099
590	10233	7081
591	10248	7062
592	10264	7045
593	10281	7027
594	10299	7010
595	10314	6991
596	10330	6973
597	10350	6958
598	10367	6940
599	10384	6922
600	10402	6906
601	10420	6889
602	10437	6871
603	10453	6853
604	10470	6836
605	10490	6820
606	10506	6802
607	10523	6785
608	10540	6767
609	10558	6750
610	10574	6732
611	10590	6714
612	10604	6694
613	10619	6676
614	10637	6659
615	10654	6641
616	10672	6624
617	10688	6606
618	10705	6589
619	10721	6571
620	10738	6553
621	10755	6536
622	10773	6519
623	10791	6502
624	10809	6485
625	10826	6468
626	10843	6450
627	10860	6433
628	10877	6416
629	10894	6398
630	10910	6380
631	10926	6362
632	10942	6344
633	10960	6327
634	10976	6309
635	10993	6292
636	11010	6274
637	11026	6256
638	11042	6238
639	11058	6220
640	11075	6203
641	11090	6184
642	11106	6166
643	11122	6148
644	11140	6131
645	11156	6113
646	11174	6096
647	11191	6079
648	11207	6061
649	11224	6044
650	11241	6026
651	11259	6009
652	11276	5992
653	11294	5975
654	11312	5958
655	11327	5940
656	11343	5922
657	11359	5904
658	11375	5886
659	11390	5867
660	11406	5849
661	11421	5831
662	11437	5813
663	11454	5796
664	11472	5779
665	11488	5761
666	11503	5743
667	11520	5725
668	11537	5708
669	11556	5692
670	11574	5675
671	11592	5658
672	11610	5641
673	11626	5623
674	11640	5604
675	11660	5588
676	11674	5570
677	11691	5552
678	11708	5535
679	11725	5518
680	11741	5499
681	11755	5481
682	11772	5463
683	11791	5447
684	11807	5429
685	11822	5411
686	11837	5393
687	11855	5376
688	11873	5359
689	11888	5341
690	11905	5324
691	11922	5306
692	11939	5289
693	11956	5271
694	11972	5254
695	11987	5235
696	12001	5217
697	12015	5198
698	12030	5180
699	12047	5163
700	12063	5145
701	12079	5127
702	12095	5110
703	12112	5092
704	12129	5075
705	12145	5057
706	12162	5040
707	12178	5022
708	12195	5005
709	12213	4988
710	12227	4970
711	12244	4952
712	12263	4936
713	12283	4920
714	12297	4901
715	12312	4883
716	12326	4865
717	12340	4846
718	12357	4829
719	12375	4812
720	12392	4795
721	12406	4777
722	12423	4759
723	12439	4742
724	12454	4724
725	12470	4706
726	12487	4689
727	12506	4672
728	12521	4654
729	12538	4637
730	12555	4620
731	12569	4602
732	12587	4585
733	12602	4567
734	12617	4549
735	12632	4531
736	12646	4512
737	12661	4495
738	12676	4476
739	12693	4459
740	12708	4441
741	12722	4423
742	12738	4406
743	12755	4388
744	12769	4370
745	12788	4354
746	12804	4336
747	12820	4319
748	12837	4302
749	12853	4284
750	12869	4267
751	12885	4249
752	12901	4231
753	12917	4214
754	12932	4196
755	12948	4179
756	12963	4161
757	12978	4143
758	12994	4125
759	13010	4108
760	13026	4091
761	13039	4072
762	13055	4055
763	13071	4037
764	13088	4020
765	13103	4002
766	13118	3985
767	13133	3967
768	13150	3950
769	13165	3932
770	13181	3915
771	13198	3897
772	13215	3880
773	13230	3863
774	13246	3845
775	13261	3828
776	13278	3811
777	13294	3793
778	13310	3776
779	13327	3759
780	13342	3741
781	13359	3724
782	13375	3706
783	13392	3689
784	13408	3672
785	13424	3655
786	13440	3637
787	13455	3619
788	13473	3603
789	13490	3586
790	13507	3568
791	13525	3552
792	13541	3534
793	13560	3518
794	13575	3500
795	13595	3484
796	13613	3467
797	13628	3449
798	13643	3432
799	13662	3415
800	13677	3398
801	13694	3381
802	13710	3363
803	13728	3346
804	13744	3329
805	13761	3312
806	13778	3295
807	13796	3278
808	13813	3261
809	13829	3243
810	13845	3226
811	13861	3209
812	13877	3191
813	13892	3174
814	13907	3156
815	13921	3139
816	13937	3121
817	13952	3104
818	13968	3087
819	13984	3069
820	14000	3052
821	14016	3035
822	14031	3017
823	14045	2999
824	14060	2982
825	14076	2965
826	14090	2947
827	14105	2930
828	14118	2912
829	14134	2894
830	14148	2877
831	14163	2859
832	14181	2843
833	14198	2825
834	14215	2809
835	14233	2792
836	14249	2775
837	14266	2757
838	14282	2740
839	14298	2723
840	14315	2706
841	14331	2689
842	14347	2672
843	14363	2654
844	14382	2638
845	14399	2621
846	14416	2604
847	14433	2587
848	14449	2569
849	14464	2552
850	14482	2535
851	14501	2518
852	14517	2501
853	14536	2485
854	14551	2467
855	14567	2450
856	14582	2433
857	14598	2416
858	14613	2398
859	14629	2381
860	14644	2364
861	14660	2347
862	14676	2329
863	14692	2312
864	14708	2295
865	14724	2278
866	14740	2261
867	14756	2244
868	14771	2226
869	14786	2209
870	14804	2192
871	14821	2175
872	14838	2158
873	14853	2141
874	14869	2124
875	14884	2106
876	14899	2089
877	14913	2072
878	14928	2055
879	14944	2037
880	14958	2020
881	14973	2003
882	14988	1986
883	15003	1968
884	15019	1951
885	15034	1934
886	15050	1917
887	15065	1900
888	15080	1882
889	15096	1865
890	15110	1848
891	15126	1831
892	15141	1814
893	15159	1797
894	15174	1780
895	15189	1763
896	15204	1745
897	15219	1728
898	15235	1711
899	15251	1694
900	15268	1677
901	15286	1660
902	15302	1643
903	15317	1626
904	15334	1609
905	15349	1592
906	15364	1575
907	15379	1558
908	15396	1541
909	15412	1524
910	15427	1507
911	15442	1490
912	15460	1473
913	15477	1456
914	15493	1439
915	15511	1422
916	15528	1405
917	15543	1388
918	15559	1371
919	15575	1354
920	15590	1337
921	15605	1320
922	15621	1303
923	15636	1286
924	15652	1269
925	15668	1252
926	15683	1235
927	15698	1218
928	15713	1200
929	15732	1184
930	15747	1167
931	15763	1150
932	15778	1133
933	15795	1116
934	15810	1099
935	15827	1082
936	15842	1065
937	15857	1048
938	15873	1031
939	15888	1014
940	15904	997
941	15920	980
942	15936	963
943	15952	946
944	15968	929
945	15983	912
946	16000	895
947	16014	878
948	16031	861
949	16048	844
950	16063	827
951	16090	811
952	16118	794
953	16134	777
954	16149	760
955	16167	744
956	16183	727
957	16200	710
958	16216	693
959	16233	676
960	16248	659
961	16262	642
962	16277	625
963	16295	608
964	16314	591
965	16333	574
966	16347	557
967	16362	540
968	16379	524
969	16397	507
970	16413	490
971	16429	473
972	16445	456
973	16461	439
974	16477	422
975	16493	405
976	16509	388
977	16526	371
978	16542	354
979	16558	337
980	16575	321
981	16590	304
982	16606	287
983	16622	270
984	16639	253
985	16655	236
986	16671	219
987	16687	202
988	16702	185
989	16718	168
990	16736	151
991	16752	135
992	16768	118
993	16784	101
994	16800	84
995	16817	67
996	16834	50
997	16849	33
998	16867	16
999	16884	0
